"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","label"
"120","SClass34","~~","SClass34","0.162","0.019","0.000","[0.125, 0.199]","0.162***","0.693","0.063","0.000","[0.569, 0.818]","0.693***","Variances.SClass34"
"121","SClass11","~~","SClass11","0.190","0.022","0.000","[0.147, 0.233]","0.190***","0.761","0.061","0.000","[0.641, 0.881]","0.761***","Variances.SClass11"
"122","mInv27","~~","mInv27","0.155","0.018","0.000","[0.120, 0.191]","0.155***","0.642","0.064","0.000","[0.517, 0.766]","0.642***","Variances.mInv27"
"123","mInv30","~~","mInv30","0.143","0.017","0.000","[0.111, 0.176]","0.143***","0.657","0.064","0.000","[0.532, 0.782]","0.657***","Variances.mInv30"
"124","mInv39","~~","mInv39","0.145","0.017","0.000","[0.112, 0.178]","0.145***","0.583","0.063","0.000","[0.461, 0.706]","0.583***","Variances.mInv39"
"125","mInv7","~~","mInv7","0.162","0.019","0.000","[0.126, 0.199]","0.162***","0.695","0.063","0.000","[0.571, 0.819]","0.695***","Variances.mInv7"
"126","mInv26","~~","mInv26","0.150","0.017","0.000","[0.116, 0.184]","0.150***","0.600","0.063","0.000","[0.476, 0.723]","0.600***","Variances.mInv26"
"127","mInv33","~~","mInv33","0.136","0.016","0.000","[0.105, 0.166]","0.136***","0.594","0.063","0.000","[0.471, 0.717]","0.594***","Variances.mInv33"
"128","mInv4","~~","mInv4","0.166","0.019","0.000","[0.129, 0.204]","0.166***","0.791","0.059","0.000","[0.674, 0.907]","0.791***","Variances.mInv4"
"129","mInv14","~~","mInv14","0.131","0.015","0.000","[0.101, 0.161]","0.131***","0.666","0.064","0.000","[0.541, 0.790]","0.666***","Variances.mInv14"
"130","mInv10","~~","mInv10","0.192","0.022","0.000","[0.149, 0.235]","0.192***","0.784","0.060","0.000","[0.666, 0.901]","0.784***","Variances.mInv10"
"131","Exot3","~~","Exot3","0.140","0.016","0.000","[0.108, 0.172]","0.140***","0.565","0.062","0.000","[0.443, 0.686]","0.565***","Variances.Exot3"
"132","Exot29","~~","Exot29","0.145","0.017","0.000","[0.112, 0.178]","0.145***","0.604","0.063","0.000","[0.481, 0.728]","0.604***","Variances.Exot29"
"133","Exot45","~~","Exot45","0.154","0.018","0.000","[0.119, 0.189]","0.154***","0.616","0.063","0.000","[0.492, 0.740]","0.616***","Variances.Exot45"
"134","Exot35","~~","Exot35","0.137","0.016","0.000","[0.106, 0.168]","0.137***","0.586","0.063","0.000","[0.463, 0.709]","0.586***","Variances.Exot35"
"135","Exot42","~~","Exot42","0.166","0.019","0.000","[0.129, 0.204]","0.166***","0.677","0.064","0.000","[0.553, 0.802]","0.677***","Variances.Exot42"
"136","Exot23","~~","Exot23","0.161","0.019","0.000","[0.125, 0.197]","0.161***","0.732","0.062","0.000","[0.609, 0.854]","0.732***","Variances.Exot23"
"137","Exot13","~~","Exot13","0.172","0.020","0.000","[0.133, 0.210]","0.172***","0.789","0.060","0.000","[0.672, 0.906]","0.789***","Variances.Exot13"
"138","Exot20","~~","Exot20","0.192","0.022","0.000","[0.149, 0.235]","0.192***","0.788","0.060","0.000","[0.671, 0.905]","0.788***","Variances.Exot20"
"139","Exot43","~~","Exot43","0.155","0.018","0.000","[0.120, 0.190]","0.155***","0.812","0.058","0.000","[0.699, 0.926]","0.812***","Variances.Exot43"
"140","mEnv37","~~","mEnv37","0.138","0.016","0.000","[0.107, 0.170]","0.138***","0.612","0.063","0.000","[0.488, 0.736]","0.612***","Variances.mEnv37"
"141","mEnv24","~~","mEnv24","0.122","0.014","0.000","[0.094, 0.151]","0.122***","0.497","0.059","0.000","[0.382, 0.613]","0.497***","Variances.mEnv24"
"142","mEnv19","~~","mEnv19","0.136","0.016","0.000","[0.104, 0.167]","0.136***","0.548","0.061","0.000","[0.428, 0.668]","0.548***","Variances.mEnv19"
"143","mEnv28","~~","mEnv28","0.178","0.021","0.000","[0.138, 0.219]","0.178***","0.721","0.063","0.000","[0.598, 0.844]","0.721***","Variances.mEnv28"
"144","mEnv18","~~","mEnv18","0.159","0.018","0.000","[0.123, 0.196]","0.159***","0.637","0.064","0.000","[0.513, 0.762]","0.637***","Variances.mEnv18"
"145","mEnv41","~~","mEnv41","0.172","0.020","0.000","[0.133, 0.211]","0.172***","0.696","0.063","0.000","[0.572, 0.820]","0.696***","Variances.mEnv41"
"146","mEnv12","~~","mEnv12","0.188","0.022","0.000","[0.146, 0.230]","0.188***","0.757","0.061","0.000","[0.637, 0.878]","0.757***","Variances.mEnv12"
"147","mWork25","~~","mWork25","0.149","0.017","0.000","[0.115, 0.183]","0.149***","0.603","0.063","0.000","[0.480, 0.727]","0.603***","Variances.mWork25"
"148","mWork15","~~","mWork15","0.128","0.015","0.000","[0.098, 0.157]","0.128***","0.550","0.061","0.000","[0.430, 0.671]","0.550***","Variances.mWork15"
"149","mWork1","~~","mWork1","0.158","0.018","0.000","[0.122, 0.194]","0.158***","0.637","0.064","0.000","[0.513, 0.762]","0.637***","Variances.mWork1"
"150","mWork16","~~","mWork16","0.181","0.021","0.000","[0.140, 0.222]","0.181***","0.724","0.063","0.000","[0.601, 0.847]","0.724***","Variances.mWork16"
"151","mWork44","~~","mWork44","0.175","0.020","0.000","[0.135, 0.214]","0.175***","0.708","0.063","0.000","[0.585, 0.832]","0.708***","Variances.mWork44"
"152","cmi1","~~","cmi1","0.789","0.091","0.000","[0.610, 0.968]","0.789***","0.573","0.061","0.000","[0.452, 0.693]","0.573***","Variances.cmi1"
"153","cmi2","~~","cmi2","0.760","0.088","0.000","[0.588, 0.932]","0.760***","0.591","0.062","0.000","[0.470, 0.713]","0.591***","Variances.cmi2"
"154","cmi3","~~","cmi3","0.614","0.071","0.000","[0.474, 0.754]","0.614***","0.507","0.059","0.000","[0.392, 0.622]","0.507***","Variances.cmi3"
"155","cmi4","~~","cmi4","0.717","0.083","0.000","[0.555, 0.880]","0.717***","0.560","0.061","0.000","[0.440, 0.679]","0.560***","Variances.cmi4"
"156","cmi5","~~","cmi5","0.797","0.092","0.000","[0.617, 0.977]","0.797***","0.596","0.062","0.000","[0.474, 0.717]","0.596***","Variances.cmi5"
"157","cmi6","~~","cmi6","0.681","0.079","0.000","[0.526, 0.835]","0.681***","0.580","0.062","0.000","[0.459, 0.701]","0.580***","Variances.cmi6"
"158","cmi7","~~","cmi7","0.853","0.099","0.000","[0.660, 1.047]","0.853***","0.591","0.062","0.000","[0.469, 0.712]","0.591***","Variances.cmi7"
"159","cmi8","~~","cmi8","0.821","0.095","0.000","[0.635, 1.008]","0.821***","0.543","0.060","0.000","[0.425, 0.661]","0.543***","Variances.cmi8"
"160","cmi9","~~","cmi9","0.851","0.098","0.000","[0.659, 1.043]","0.851***","0.614","0.063","0.000","[0.491, 0.736]","0.614***","Variances.cmi9"
"161","cmi10","~~","cmi10","0.700","0.081","0.000","[0.541, 0.860]","0.700***","0.547","0.061","0.000","[0.428, 0.666]","0.547***","Variances.cmi10"
"162","cmi11","~~","cmi11","0.564","0.066","0.000","[0.435, 0.693]","0.564***","0.495","0.058","0.000","[0.381, 0.608]","0.495***","Variances.cmi11"
"163","cmi12","~~","cmi12","0.874","0.101","0.000","[0.676, 1.073]","0.874***","0.556","0.061","0.000","[0.437, 0.675]","0.556***","Variances.cmi12"
"164","cmi13","~~","cmi13","0.953","0.110","0.000","[0.737, 1.169]","0.953***","0.588","0.062","0.000","[0.466, 0.709]","0.588***","Variances.cmi13"
